drug_name,month,avg_sentiment,ade_count,total,ade_rate
alprazolam,2008-03,0.15935,0,2,0.0
alprazolam,2008-04,0.18780000000000002,0,2,0.0
alprazolam,2008-05,0.05936666666666667,0,3,0.0
alprazolam,2008-06,0.1256,0,2,0.0
alprazolam,2008-07,0.45,0,1,0.0
alprazolam,2008-08,0.12883333333333333,1,3,0.3333333333333333
alprazolam,2008-09,0.5,0,2,0.0
alprazolam,2008-10,0.08043333333333334,2,3,0.6666666666666666
alprazolam,2008-11,0.0788,2,4,0.5
alprazolam,2008-12,0.08956666666666667,0,3,0.0
alprazolam,2009-01,0.0725,0,2,0.0
alprazolam,2009-02,0.211725,0,4,0.0
alprazolam,2009-03,0.17563333333333334,0,3,0.0
alprazolam,2009-04,0.07766666666666666,1,6,0.16666666666666666
alprazolam,2009-05,0.11566000000000001,1,5,0.2
alprazolam,2009-06,0.2367,0,1,0.0
alprazolam,2009-07,-0.02475,0,2,0.0
alprazolam,2009-08,-0.05569999999999999,0,5,0.0
alprazolam,2009-09,-0.1493,0,2,0.0
alprazolam,2009-11,0.14504,2,5,0.4
alprazolam,2009-12,0.1438,0,1,0.0
alprazolam,2010-01,0.0781,0,2,0.0
alprazolam,2010-02,0.0,0,1,0.0
alprazolam,2010-03,0.33556666666666674,0,3,0.0
alprazolam,2010-04,0.17015,0,2,0.0
alprazolam,2010-06,0.1655,1,2,0.5
alprazolam,2010-07,0.35,0,1,0.0
alprazolam,2010-08,0.18885,0,2,0.0
alprazolam,2010-09,0.02665,0,2,0.0
alprazolam,2010-11,0.041975,0,4,0.0
alprazolam,2010-12,0.0183,0,1,0.0
alprazolam,2011-01,-0.01665,0,2,0.0
alprazolam,2011-02,0.37,0,2,0.0
alprazolam,2011-03,0.61,0,2,0.0
alprazolam,2011-04,0.292,1,1,1.0
alprazolam,2011-05,-0.012300000000000005,0,2,0.0
alprazolam,2011-06,-0.011099999999999999,1,2,0.5
alprazolam,2011-08,0.31124999999999997,1,2,0.5
alprazolam,2011-09,0.1755,0,4,0.0
alprazolam,2011-10,0.07624,0,5,0.0
alprazolam,2011-11,0.26315,0,2,0.0
alprazolam,2011-12,0.27707499999999996,1,8,0.125
alprazolam,2012-01,-0.046200000000000005,0,2,0.0
alprazolam,2012-02,0.3288,0,2,0.0
alprazolam,2012-03,0.0642,0,2,0.0
alprazolam,2012-04,0.003,0,1,0.0
alprazolam,2012-05,0.2625,0,2,0.0
alprazolam,2012-08,0.3826,0,3,0.0
alprazolam,2012-10,0.245,0,2,0.0
alprazolam,2012-12,0.425,0,2,0.0
alprazolam,2013-01,0.5333,0,1,0.0
alprazolam,2013-02,-0.06664999999999999,1,2,0.5
alprazolam,2013-03,0.65,0,2,0.0
alprazolam,2013-04,0.08555,3,4,0.75
alprazolam,2013-06,0.235,0,2,0.0
alprazolam,2013-07,0.012033333333333332,2,3,0.6666666666666666
alprazolam,2013-08,0.06553333333333335,0,3,0.0
alprazolam,2013-09,0.154,0,6,0.0
alprazolam,2013-10,0.12175,0,2,0.0
alprazolam,2013-11,0.112275,1,4,0.25
alprazolam,2014-01,0.0657,0,2,0.0
alprazolam,2014-02,0.1598,0,3,0.0
alprazolam,2014-03,0.2167,0,1,0.0
alprazolam,2014-05,0.5,0,1,0.0
alprazolam,2014-07,0.15216666666666667,0,3,0.0
alprazolam,2014-08,0.2906666666666667,1,3,0.3333333333333333
alprazolam,2014-09,0.5771,1,2,0.5
alprazolam,2014-10,0.0991,0,1,0.0
alprazolam,2014-11,0.1426333333333333,0,3,0.0
alprazolam,2014-12,0.22115,0,2,0.0
alprazolam,2015-01,0.0,0,1,0.0
alprazolam,2015-02,0.35,0,1,0.0
alprazolam,2015-03,0.03153333333333334,0,3,0.0
alprazolam,2015-04,-0.02665,2,2,1.0
alprazolam,2015-05,0.09425,0,2,0.0
alprazolam,2015-06,0.013300000000000001,1,6,0.16666666666666666
alprazolam,2015-07,0.09392500000000001,0,8,0.0
alprazolam,2015-08,0.0233,0,4,0.0
alprazolam,2015-09,0.044266666666666676,0,3,0.0
alprazolam,2015-10,-0.13598,0,5,0.0
alprazolam,2015-11,0.1381,1,3,0.3333333333333333
alprazolam,2015-12,0.0053,0,1,0.0
